cell_id,tough_label,material,tough_material,generated
245,A1345,RockG,ROCKG,False
246,A1346,RockG,ROCKG,False
247,A1347,RockG,ROCKG,False
248,A1348,RockG,ROCKG,False
249,A1349,RockG,ROCKG,False
250,A1350,RockG,ROCKG,False
251,A1351,RockG,ROCKG,False
252,A1352,RockG,ROCKG,False
253,A1353,RockG,ROCKG,False
254,A1354,RockG,ROCKG,False
255,A1355,RockG,ROCKG,False
256,A1356,RockG,ROCKG,False
257,A1357,RockG,ROCKG,False
258,A1358,RockG,ROCKG,False
259,A1359,RockG,ROCKG,False
260,A1360,RockG,ROCKG,False
261,A1361,RockG,ROCKG,False
262,A1362,RockG,ROCKG,False
263,A1363,RockG,ROCKG,False
264,A1364,RockG,ROCKG,False
265,A1365,RockG,ROCKG,False
266,A1366,RockG,ROCKG,False
267,A1367,RockG,ROCKG,False
268,A1368,RockG,ROCKG,False
269,A1369,RockG,ROCKG,False
270,A1370,RockG,ROCKG,False
271,A1371,RockG,ROCKG,False
272,A1372,RockG,ROCKG,False
273,A1373,RockG,ROCKG,False
274,A1374,RockG,ROCKG,False
275,A1375,RockG,ROCKG,False
276,A1376,RockG,ROCKG,False
277,A1377,RockG,ROCKG,False
278,A1378,RockG,ROCKG,False
279,A1379,RockG,ROCKG,False
280,A1380,RockG,ROCKG,False
281,A1381,RockG,ROCKG,False
282,A1382,RockG,ROCKG,False
283,A1383,RockG,ROCKG,False
284,A1384,RockG,ROCKG,False
285,A1385,RockG,ROCKG,False
286,A1386,RockG,ROCKG,False
287,A1387,RockG,ROCKG,False
288,A1388,RockG,ROCKG,False
289,A1389,RockG,ROCKG,False
290,A1390,RockG,ROCKG,False
291,A1391,RockG,ROCKG,False
292,A1392,RockG,ROCKG,False
293,A1393,RockG,ROCKG,False
294,A1394,RockG,ROCKG,False
295,A1395,RockG,ROCKG,False
296,A1396,RockG,ROCKG,False
297,A1397,RockG,ROCKG,False
298,A1398,RockG,ROCKG,False
299,A1399,RockG,ROCKG,False
300,A14 0,RockG,ROCKG,False
301,A14 1,RockG,ROCKG,False
302,A14 2,RockG,ROCKG,False
303,A14 3,RockG,ROCKG,False
304,A14 4,RockG,ROCKG,False
305,A14 5,RockG,ROCKG,False
306,A14 6,RockG,ROCKG,False
307,A14 7,RockG,ROCKG,False
308,A14 8,RockG,ROCKG,False
309,A14 9,RockG,ROCKG,False
310,A1410,RockG,ROCKG,False
311,A1411,RockG,ROCKG,False
312,A1412,RockG,ROCKG,False
313,A1413,RockG,ROCKG,False
314,A1414,RockG,ROCKG,False
315,A1415,RockG,ROCKG,False
316,A1416,RockG,ROCKG,False
317,A1417,RockG,ROCKG,False
318,A1418,RockG,ROCKG,False
319,A1419,RockG,ROCKG,False
320,A1420,RockG,ROCKG,False
321,A1421,RockG,ROCKG,False
322,A1422,RockG,ROCKG,False
323,A1423,RockG,ROCKG,False
324,A1424,RockG,ROCKG,False
325,A1425,RockG,ROCKG,False
326,A1426,RockG,ROCKG,False
327,A1427,RockG,ROCKG,False
328,A1428,RockG,ROCKG,False
329,A1429,RockG,ROCKG,False
330,A1430,RockG,ROCKG,False
331,A1431,RockG,ROCKG,False
332,A1432,RockG,ROCKG,False
333,A1433,RockG,ROCKG,False
334,A1434,RockG,ROCKG,False
335,A1435,RockG,ROCKG,False
336,A1436,RockG,ROCKG,False
337,A1437,RockG,ROCKG,False
338,A1438,RockG,ROCKG,False
339,A1439,RockG,ROCKG,False
340,A1440,RockG,ROCKG,False
341,A1441,RockG,ROCKG,False
342,A1442,RockG,ROCKG,False
343,A1443,RockG,ROCKG,False
344,A1444,RockG,ROCKG,False
345,A1445,RockG,ROCKG,False
346,A1446,RockG,ROCKG,False
347,A1447,RockG,ROCKG,False
348,A1448,RockG,ROCKG,False
349,A1449,RockG,ROCKG,False
350,A1450,RockG,ROCKG,False
351,A1451,RockG,ROCKG,False
352,A1452,RockG,ROCKG,False
353,A1453,RockG,ROCKG,False
354,A1454,RockG,ROCKG,False
355,A1455,RockG,ROCKG,False
356,A1456,RockG,ROCKG,False
357,A1457,RockG,ROCKG,False
358,A1458,RockG,ROCKG,False
359,A1459,RockG,ROCKG,False
360,A1460,RockG,ROCKG,False
361,A1461,RockG,ROCKG,False
362,A1462,RockG,ROCKG,False
363,A1463,RockG,ROCKG,False
364,A1464,RockG,ROCKG,False
365,A1465,RockG,ROCKG,False
366,A1466,RockG,ROCKG,False
367,A1467,RockG,ROCKG,False
368,A1468,RockG,ROCKG,False
369,A1469,RockG,ROCKG,False
370,A1470,RockG,ROCKG,False
371,A1471,RockG,ROCKG,False
372,A1472,RockG,ROCKG,False
373,A1473,RockG,ROCKG,False
374,A1474,RockG,ROCKG,False
375,A1475,RockG,ROCKG,False
376,A1476,RockG,ROCKG,False
377,A1477,RockG,ROCKG,False
378,A1478,RockG,ROCKG,False
379,A1479,RockG,ROCKG,False
380,A1480,RockG,ROCKG,False
381,A1481,RockG,ROCKG,False
382,A1482,RockG,ROCKG,False
383,A1483,RockG,ROCKG,False
384,A1484,RockG,ROCKG,False
385,A1485,RockG,ROCKG,False
386,A1486,RockG,ROCKG,False
387,A1487,RockG,ROCKG,False
388,A1488,RockG,ROCKG,False
389,A1489,RockG,ROCKG,False
390,A1490,RockG,ROCKG,False
391,A1491,RockG,ROCKG,False
392,A1492,RockG,ROCKG,False
393,A1493,RockG,ROCKG,False
394,A1494,RockG,ROCKG,False
395,A1495,RockG,ROCKG,False
396,A1496,RockG,ROCKG,False
397,A1497,RockG,ROCKG,False
398,A1498,RockG,ROCKG,False
399,A1499,RockG,ROCKG,False
400,A15 0,RockG,ROCKG,False
401,A15 1,RockG,ROCKG,False
402,A15 2,RockG,ROCKG,False
403,A15 3,RockG,ROCKG,False
404,A15 4,RockG,ROCKG,False
405,A15 5,RockG,ROCKG,False
406,A15 6,RockG,ROCKG,False
407,A15 7,RockG,ROCKG,False
408,A15 8,RockG,ROCKG,False
409,A15 9,RockG,ROCKG,False
410,A1510,RockG,ROCKG,False
411,A1511,RockG,ROCKG,False
412,A1512,RockG,ROCKG,False
413,A1513,RockG,ROCKG,False
414,A1514,RockG,ROCKG,False
415,A1515,RockG,ROCKG,False
416,A1516,RockG,ROCKG,False
417,A1517,RockG,ROCKG,False
418,A1518,RockG,ROCKG,False
419,A1519,RockG,ROCKG,False
420,A1520,RockG,ROCKG,False
421,A1521,RockF,ROCKF,False
422,A1522,RockF,ROCKF,False
423,A1523,RockF,ROCKF,False
424,A1524,RockF,ROCKF,False
425,A1525,RockF,ROCKF,False
426,A1526,RockF,ROCKF,False
427,A1527,RockF,ROCKF,False
428,A1528,RockF,ROCKF,False
429,A1529,RockF,ROCKF,False
430,A1530,RockF,ROCKF,False
431,A1531,RockF,ROCKF,False
432,A1532,RockF,ROCKF,False
433,A1533,RockF,ROCKF,False
434,A1534,RockF,ROCKF,False
435,A1535,RockF,ROCKF,False
436,A1536,RockF,ROCKF,False
437,A1537,RockF,ROCKF,False
438,A1538,RockF,ROCKF,False
439,A1539,RockF,ROCKF,False
440,A1540,RockF,ROCKF,False
441,A1541,RockF,ROCKF,False
442,A1542,RockF,ROCKF,False
443,A1543,RockF,ROCKF,False
444,A1544,RockF,ROCKF,False
445,A1545,RockF,ROCKF,False
446,A1546,RockF,ROCKF,False
447,A1547,RockF,ROCKF,False
448,A1548,RockF,ROCKF,False
449,A1549,RockF,ROCKF,False
450,A1550,RockF,ROCKF,False
451,A1551,RockF,ROCKF,False
452,A1552,RockF,ROCKF,False
453,A1553,RockF,ROCKF,False
454,A1554,RockF,ROCKF,False
455,A1555,RockF,ROCKF,False
456,A1556,RockF,ROCKF,False
457,A1557,RockF,ROCKF,False
458,A1558,RockF,ROCKF,False
459,A1559,RockF,ROCKF,False
460,A1560,RockF,ROCKF,False
461,A1561,RockF,ROCKF,False
462,A1562,RockF,ROCKF,False
463,A1563,RockF,ROCKF,False
464,A1564,RockF,ROCKF,False
465,A1565,RockF,ROCKF,False
466,A1566,RockF,ROCKF,False
467,A1567,RockF,ROCKF,False
468,A1568,RockF,ROCKF,False
469,A1569,RockF,ROCKF,False
470,A1570,RockF,ROCKF,False
471,A1571,RockF,ROCKF,False
472,A1572,RockF,ROCKF,False
473,A1573,RockF,ROCKF,False
474,A1574,RockF,ROCKF,False
475,A1575,RockF,ROCKF,False
476,A1576,RockF,ROCKF,False
477,A1577,RockF,ROCKF,False
478,A1578,RockF,ROCKF,False
479,A1579,RockF,ROCKF,False
480,A1580,RockF,ROCKF,False
481,A1581,RockF,ROCKF,False
482,A1582,RockF,ROCKF,False
483,A1583,RockF,ROCKF,False
484,A1584,RockF,ROCKF,False
485,A1585,RockF,ROCKF,False
486,A1586,RockF,ROCKF,False
487,A1587,RockF,ROCKF,False
488,A1588,RockF,ROCKF,False
489,A1589,RockF,ROCKF,False
490,A1590,RockF,ROCKF,False
491,A1591,RockF,ROCKF,False
492,A1592,RockF,ROCKF,False
493,A1593,RockF,ROCKF,False
494,A1594,RockF,ROCKF,False
495,A1595,RockF,ROCKF,False
496,A1596,RockF,ROCKF,False
497,A1597,RockF,ROCKF,False
498,A1598,RockF,ROCKF,False
499,A1599,RockF,ROCKF,False
500,A16 0,RockF,ROCKF,False
501,A16 1,RockF,ROCKF,False
502,A16 2,RockF,ROCKF,False
503,A16 3,RockF,ROCKF,False
504,A16 4,RockF,ROCKF,False
505,A16 5,RockF,ROCKF,False
506,A16 6,RockF,ROCKF,False
507,A16 7,RockF,ROCKF,False
508,A16 8,RockF,ROCKF,False
509,A16 9,RockF,ROCKF,False
510,A1610,RockF,ROCKF,False
511,A1611,RockF,ROCKF,False
512,A1612,RockF,ROCKF,False
513,A1613,RockF,ROCKF,False
514,A1614,RockF,ROCKF,False
515,A1615,RockF,ROCKF,False
516,A1616,RockF,ROCKF,False
517,A1617,RockF,ROCKF,False
518,A1618,RockF,ROCKF,False
519,A1619,RockF,ROCKF,False
520,A1620,RockF,ROCKF,False
521,A1621,RockF,ROCKF,False
522,A1622,RockF,ROCKF,False
523,A1623,RockF,ROCKF,False
524,A1624,RockF,ROCKF,False
525,A1625,RockF,ROCKF,False
526,A1626,RockF,ROCKF,False
527,A1627,RockF,ROCKF,False
528,A1628,RockF,ROCKF,False
529,A1629,RockF,ROCKF,False
530,A1630,RockF,ROCKF,False
531,A1631,RockF,ROCKF,False
532,A1632,RockF,ROCKF,False
533,A1633,RockF,ROCKF,False
534,A1634,RockF,ROCKF,False
535,A1635,RockF,ROCKF,False
536,A1636,RockF,ROCKF,False
537,A1637,RockF,ROCKF,False
538,A1638,RockF,ROCKF,False
539,A1639,RockF,ROCKF,False
540,A1640,RockF,ROCKF,False
541,A1641,RockF,ROCKF,False
542,A1642,RockF,ROCKF,False
543,A1643,RockF,ROCKF,False
544,A1644,RockF,ROCKF,False
545,A1645,RockF,ROCKF,False
546,A1646,RockF,ROCKF,False
547,A1647,RockF,ROCKF,False
548,A1648,RockF,ROCKF,False
549,A1649,RockF,ROCKF,False
550,A1650,RockF,ROCKF,False
551,A1651,RockF,ROCKF,False
552,A1652,RockF,ROCKF,False
553,A1653,RockF,ROCKF,False
554,A1654,RockF,ROCKF,False
555,A1655,RockF,ROCKF,False
556,A1656,RockF,ROCKF,False
557,A1657,RockF,ROCKF,False
558,A1658,RockF,ROCKF,False
