cell_id,tough_label,material,tough_material,generated
302,A14 2,Rocka,ROCKA,False
303,A14 3,Rocka,ROCKA,False
304,A14 4,Rocka,ROCKA,False
305,A14 5,Rocka,ROCKA,False
306,A14 6,Rocka,ROCKA,False
307,A14 7,Rocka,ROCKA,False
308,A14 8,Rocka,ROCKA,False
309,A14 9,Rocka,ROCKA,False
310,A1410,Rocka,ROCKA,False
311,A1411,Rocka,ROCKA,False
312,A1412,Rocka,ROCKA,False
313,A1413,Rocka,ROCKA,False
314,A1414,Rocka,ROCKA,False
315,A1415,Rocka,ROCKA,False
316,A1416,Rocka,ROCKA,False
317,A1417,Rocka,ROCKA,False
318,A1418,Rocka,ROCKA,False
319,A1419,Rocka,ROCKA,False
320,A1420,Rocka,ROCKA,False
321,A1421,Rocka,ROCKA,False
322,A1422,Rocka,ROCKA,False
323,A1423,Rocka,ROCKA,False
324,A1424,Rocka,ROCKA,False
325,A1425,Rocka,ROCKA,False
326,A1426,Rocka,ROCKA,False
327,A1427,Rocka,ROCKA,False
328,A1428,Rocka,ROCKA,False
329,A1429,Rocka,ROCKA,False
330,A1430,Rocka,ROCKA,False
331,A1431,Rocka,ROCKA,False
332,A1432,Rocka,ROCKA,False
333,A1433,Rocka,ROCKA,False
334,A1434,Rocka,ROCKA,False
335,A1435,Rocka,ROCKA,False
336,A1436,Rocka,ROCKA,False
337,A1437,Rocka,ROCKA,False
338,A1438,Rocka,ROCKA,False
339,A1439,Rocka,ROCKA,False
340,A1440,Rocka,ROCKA,False
341,A1441,Rocka,ROCKA,False
342,A1442,Rocka,ROCKA,False
343,A1443,Rocka,ROCKA,False
344,A1444,Rocka,ROCKA,False
345,A1445,Rocka,ROCKA,False
346,A1446,Rocka,ROCKA,False
347,A1447,Rocka,ROCKA,False
348,A1448,Rocka,ROCKA,False
349,A1449,Rocka,ROCKA,False
350,A1450,Rocka,ROCKA,False
351,A1451,Rocka,ROCKA,False
352,A1452,Rocka,ROCKA,False
353,A1453,Rocka,ROCKA,False
354,A1454,Rocka,ROCKA,False
355,A1455,Rocka,ROCKA,False
356,A1456,Rocka,ROCKA,False
357,A1457,Rocka,ROCKA,False
358,A1458,Rocka,ROCKA,False
359,A1459,Rocka,ROCKA,False
360,A1460,Rocka,ROCKA,False
361,A1461,Rocka,ROCKA,False
362,A1462,Rocka,ROCKA,False
363,A1463,Rocka,ROCKA,False
364,A1464,Rocka,ROCKA,False
365,A1465,Rocka,ROCKA,False
366,A1466,Rocka,ROCKA,False
367,A1467,Rocka,ROCKA,False
368,A1468,Rocka,ROCKA,False
369,A1469,Rocka,ROCKA,False
370,A1470,Rocka,ROCKA,False
371,A1471,Rocka,ROCKA,False
372,A1472,Rocka,ROCKA,False
373,A1473,Rocka,ROCKA,False
374,A1474,Rocka,ROCKA,False
375,A1475,Rocka,ROCKA,False
376,A1476,Rocka,ROCKA,False
377,A1477,Rocka,ROCKA,False
378,A1478,Rocka,ROCKA,False
379,A1479,Rocka,ROCKA,False
380,A1480,Rocka,ROCKA,False
381,A1481,Rocka,ROCKA,False
382,A1482,Rocka,ROCKA,False
383,A1483,Rocka,ROCKA,False
384,A1484,Rocka,ROCKA,False
385,A1485,Rocka,ROCKA,False
386,A1486,Rocka,ROCKA,False
387,A1487,Rocka,ROCKA,False
388,A1488,Rocka,ROCKA,False
389,A1489,Rocka,ROCKA,False
390,A1490,Rocka,ROCKA,False
391,A1491,Rocka,ROCKA,False
392,A1492,Rocka,ROCKA,False
393,A1493,Rocka,ROCKA,False
394,A1494,Rocka,ROCKA,False
395,A1495,Rocka,ROCKA,False
396,A1496,Rocka,ROCKA,False
397,A1497,Rocka,ROCKA,False
398,A1498,Rocka,ROCKA,False
399,A1499,Rocka,ROCKA,False
400,A15 0,Rocka,ROCKA,False
401,A15 1,Rocka,ROCKA,False
402,A15 2,Rocka,ROCKA,False
403,A15 3,Rocka,ROCKA,False
404,A15 4,Rocka,ROCKA,False
405,A15 5,Rocka,ROCKA,False
406,A15 6,Rocka,ROCKA,False
407,A15 7,Rocka,ROCKA,False
408,A15 8,Rocka,ROCKA,False
409,A15 9,Rocka,ROCKA,False
410,A1510,Rocka,ROCKA,False
411,A1511,Rocka,ROCKA,False
412,A1512,Rocka,ROCKA,False
413,A1513,Rocka,ROCKA,False
414,A1514,Rocka,ROCKA,False
415,A1515,Rocka,ROCKA,False
416,A1516,Rocka,ROCKA,False
417,A1517,Rocka,ROCKA,False
418,A1518,Rocka,ROCKA,False
419,A1519,Rocka,ROCKA,False
420,A1520,Rocka,ROCKA,False
421,A1521,Rocka,ROCKA,False
422,A1522,Rocka,ROCKA,False
423,A1523,Rocka,ROCKA,False
424,A1524,Rocka,ROCKA,False
425,A1525,Rocka,ROCKA,False
426,A1526,Rocka,ROCKA,False
427,A1527,Rocka,ROCKA,False
428,A1528,Rocka,ROCKA,False
429,A1529,Rocka,ROCKA,False
430,A1530,Rocka,ROCKA,False
431,A1531,Rocka,ROCKA,False
432,A1532,Rocka,ROCKA,False
433,A1533,Rocka,ROCKA,False
434,A1534,Rocka,ROCKA,False
435,A1535,Rocka,ROCKA,False
436,A1536,Rocka,ROCKA,False
437,A1537,Rocka,ROCKA,False
438,A1538,Rocka,ROCKA,False
439,A1539,Rocka,ROCKA,False
440,A1540,Rocka,ROCKA,False
441,A1541,Rocka,ROCKA,False
442,A1542,Rocka,ROCKA,False
443,A1543,Rocka,ROCKA,False
444,A1544,Rocka,ROCKA,False
445,A1545,Rocka,ROCKA,False
446,A1546,Rocka,ROCKA,False
447,A1547,Rocka,ROCKA,False
448,A1548,Rocka,ROCKA,False
449,A1549,Rocka,ROCKA,False
450,A1550,Rocka,ROCKA,False
451,A1551,Rocka,ROCKA,False
452,A1552,Rocka,ROCKA,False
453,A1553,Rocka,ROCKA,False
454,A1554,Rocka,ROCKA,False
455,A1555,Rocka,ROCKA,False
456,A1556,Rocka,ROCKA,False
457,A1557,Rocka,ROCKA,False
458,A1558,Rocka,ROCKA,False
459,A1559,Rocka,ROCKA,False
460,A1560,Rocka,ROCKA,False
461,A1561,Rocka,ROCKA,False
462,A1562,Rocka,ROCKA,False
463,A1563,Rocka,ROCKA,False
464,A1564,Rocka,ROCKA,False
465,A1565,Rocka,ROCKA,False
466,A1566,Rocka,ROCKA,False
467,A1567,Rocka,ROCKA,False
468,A1568,Rocka,ROCKA,False
469,A1569,Rocka,ROCKA,False
470,A1570,Rocka,ROCKA,False
471,A1571,Rocka,ROCKA,False
472,A1572,Rocka,ROCKA,False
473,A1573,Rocka,ROCKA,False
474,A1574,Rocka,ROCKA,False
475,A1575,Rocka,ROCKA,False
476,A1576,Rocka,ROCKA,False
477,A1577,Rocka,ROCKA,False
478,A1578,Rocka,ROCKA,False
479,A1579,Rocka,ROCKA,False
480,A1580,Rocka,ROCKA,False
481,A1581,Rocka,ROCKA,False
482,A1582,Rocka,ROCKA,False
483,A1583,Rocka,ROCKA,False
484,A1584,Rocka,ROCKA,False
485,A1585,Rocka,ROCKA,False
486,A1586,Rocka,ROCKA,False
487,A1587,Rocka,ROCKA,False
488,A1588,Rocka,ROCKA,False
489,A1589,Rocka,ROCKA,False
490,A1590,Rocka,ROCKA,False
491,A1591,Rocka,ROCKA,False
492,A1592,Rocka,ROCKA,False
493,A1593,Rocka,ROCKA,False
494,A1594,Rocka,ROCKA,False
495,A1595,Rocka,ROCKA,False
496,A1596,Rocka,ROCKA,False
497,A1597,Rocka,ROCKA,False
498,A1598,Rocka,ROCKA,False
499,A1599,Rocka,ROCKA,False
500,A16 0,Rocka,ROCKA,False
501,A16 1,Rocka,ROCKA,False
502,A16 2,Rocka,ROCKA,False
503,A16 3,Rocka,ROCKA,False
504,A16 4,Rocka,ROCKA,False
505,A16 5,Rocka,ROCKA,False
506,A16 6,Rocka,ROCKA,False
507,A16 7,Rocka,ROCKA,False
508,A16 8,Rocka,ROCKA,False
509,A16 9,Rocka,ROCKA,False
510,A1610,Rocka,ROCKA,False
511,A1611,Rocka,ROCKA,False
512,A1612,Rocka,ROCKA,False
513,A1613,Rocka,ROCKA,False
514,A1614,Rocka,ROCKA,False
515,A1615,Rocka,ROCKA,False
516,A1616,Rocka,ROCKA,False
517,A1617,Rocka,ROCKA,False
518,A1618,Rocka,ROCKA,False
519,A1619,Rocka,ROCKA,False
520,A1620,Rocka,ROCKA,False
521,A1621,Rocka,ROCKA,False
522,A1622,Rocka,ROCKA,False
523,A1623,Rocka,ROCKA,False
524,A1624,Rocka,ROCKA,False
525,A1625,Rocka,ROCKA,False
526,A1626,Rocka,ROCKA,False
527,A1627,Rocka,ROCKA,False
528,A1628,Rocka,ROCKA,False
529,A1629,Rocka,ROCKA,False
530,A1630,Rocka,ROCKA,False
531,A1631,Rocka,ROCKA,False
532,A1632,Rocka,ROCKA,False
533,A1633,Rocka,ROCKA,False
